,Turno,ID Empleado,ID Puesto,Email,Puesto,Departamento,Tipo Puesto,Nom_Completo
45,,1243,15-24100,manuel.martinez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Manuel Martinez
46,,1276,15-24100,casimiro.delgadillo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Casimiro Delgadillo
47,,1284,15-24100,albeiro.argáez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Albeiro Argáez
48,,1289,15-24100,magnolia.bustamante@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Magnolia Bustamante
49,,1336,15-24100,genaro.lerma@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Genaro Lerma
50,,1354,15-24100,federico.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Federico Lopez
51,,1358,15-24100,alfonso.corella@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alfonso Corella
52,,1367,15-24100,marcos.bojorquez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marcos Bojorquez
53,,1373,15-24100,ibarra.lerma@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ibarra Lerma
54,,1443,15-24100,irma.dominguez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Irma Dominguez
55,,1454,15-24100,monge.santos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Monge Santos
56,,1461,15-24100,jeanett.amaya@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jeanett Amaya
57,,1467,15-24100,alex.muñoz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alex Muñoz
58,,1500,15-24100,vega.munguia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Vega Munguia
59,,1528,15-24100,alfonso.figueroa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alfonso Figueroa
60,,1544,15-24100,mauro.velez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Mauro Velez
61,,1553,15-24100,paez.robles@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Paez Robles
62,,1589,15-24100,salvadora.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Salvadora Lopez
63,,1608,15-24100,karla.acosta@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Karla Acosta
64,,1653,15-24100,sergio.coffey@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Sergio Coffey
65,,1692,15-24100,gerardo.ortega@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gerardo Ortega
66,,1701,15-24100,magdalena.ibarra@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Magdalena Ibarra
67,,1741,15-24100,oswaldo.leon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Oswaldo Leon
68,,1744,15-24100,león.taborda@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,León Taborda
69,,1766,15-24100,antonio.mata@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Antonio Mata
70,,1861,15-24100,jose.fernandez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jose Fernandez
71,,1881,15-24100,medina.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Medina Ochoa
72,,1884,15-24100,usbaldo.bustamante@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Usbaldo Bustamante
73,,1934,15-24100,trinidad.gracia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Trinidad Gracia
74,,1947,15-24100,antonio.vazquez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Antonio Vazquez
75,,1980,15-24100,cristina.sanchez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Cristina Sanchez
76,,42,15-24100,rios.valenzuela@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Rios Valenzuela
77,,62,15-24100,dewar.navarro@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Dewar Navarro
78,,86,15-24100,teresa.garcia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Teresa Garcia
79,,90,15-24100,elda.cota@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Elda Cota
80,,95,15-24100,ignacio.perez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ignacio Perez
81,,106,15-24100,rosario.trejo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Rosario Trejo
82,,107,15-24100,victor.leyva@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Victor Leyva
83,,133,15-24100,rubio.salazar@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Rubio Salazar
84,,139,15-24100,enrique.mata@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Enrique Mata
85,,155,15-24100,alejandra.alvarez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alejandra Alvarez
86,,157,15-24100,ignacio.ramirez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ignacio Ramirez
87,,177,15-24100,iselda.olguin@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Iselda Olguin
88,,186,15-24100,israel.esquer@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Israel Esquer
89,,199,15-24100,elena.figueroa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Elena Figueroa
90,,203,15-24100,victor.molina@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Victor Molina
91,,222,15-24100,jaime.celada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jaime Celada
92,,330,15-24100,francisco.contreras@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Francisco Contreras
93,,364,15-24100,marleny.zapata@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marleny Zapata
94,,379,15-24100,martha.jaime@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Martha Jaime
95,,398,15-24100,enrique.osornio@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Enrique Osornio
96,,415,15-24100,ubaldo.medina@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ubaldo Medina
97,,448,15-24100,martin.acosta@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Martin Acosta
98,,460,15-24100,juan .taborda@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Juan  Taborda
99,,467,15-24100,marvin.moreno@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marvin Moreno
100,,524,15-24100,valencia.baldenegro@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Valencia Baldenegro
101,,539,15-24100,joaquin.zapata@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Joaquin Zapata
102,,547,15-24100,gonzalez.hurtado@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gonzalez Hurtado
103,,583,15-24100,esteban.hoyos @tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Esteban Hoyos 
104,,606,15-24100,felipa.juarez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Felipa Juarez
105,,637,15-24100,vazquez.thomson@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Vazquez Thomson
106,,645,15-24100,felipe.munguia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Felipe Munguia
107,,690,15-24100,flores.rodriguez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Flores Rodriguez
108,,718,15-24100,andres.agudelo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Andres Agudelo
109,,755,15-24100,luz.ibarra@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luz Ibarra
110,,864,15-24100,francisco.villa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Francisco Villa
111,,875,15-24100,luz.sotomayor@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luz Sotomayor
112,,913,15-24100,hernan.prisco@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Hernan Prisco
113,,959,15-24100,karla.patiño@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Karla Patiño
114,,984,15-24100,manuel.valles@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Manuel Valles
115,,993,15-24100,igor.arvayo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Igor Arvayo
116,,1009,15-24100,laura.santillanez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Laura Santillanez
117,,1067,15-24100,leonor.bejarano@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Leonor Bejarano
118,,1082,15-24100,alberto.soto @tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alberto Soto 
119,,1099,15-24100,liebano.peral@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Liebano Peral
120,,1114,15-24100,dario.peralta@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Dario Peralta
121,,1119,15-24100,guadalupe.paz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Guadalupe Paz
122,,1124,15-24100,carolina.hernandez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Carolina Hernandez
123,,1138,15-24100,david.enriquez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,David Enriquez
124,,1154,15-24100,gabriela.ketchul@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gabriela Ketchul
125,,1248,15-24100,marcela.rojas@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marcela Rojas
126,,1269,15-24100,javier.zepeda@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Javier Zepeda
127,,1309,15-24100,elva.tequida@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Elva Tequida
128,,1312,15-24100,manuel.padilla@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Manuel Padilla
129,,1348,15-24100,marco.daniel@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marco Daniel
130,,1349,15-24100,jesus.medina@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jesus Medina
131,,1383,15-24100,alejandro.bustamante@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alejandro Bustamante
132,,1399,15-24100,ignacio.blandon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ignacio Blandon
133,,1449,15-24100,luis.acosta@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luis Acosta
134,,1462,15-24100,vazquez.olea@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Vazquez Olea
135,,1499,15-24100,lamberto.calleja@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lamberto Calleja
136,,1507,15-24100,mauricio.gutierrez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Mauricio Gutierrez
137,,1526,15-24100,oswaldo.chavelas@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Oswaldo Chavelas
138,,1552,15-24100,juventino.miranda@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Juventino Miranda
139,,1582,15-24100,monica.martinez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Monica Martinez
140,,1612,15-24100,daniel.loaiza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Daniel Loaiza
141,,1621,15-24100,esthela.real@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Esthela Real
142,,1643,15-24100,figueroa.romero@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Figueroa Romero
143,,1661,15-24100,laura.limon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Laura Limon
144,,1679,15-24100,guadalupe.montenegro@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Guadalupe Montenegro
145,,1707,15-24100,orozco.morales@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Orozco Morales
146,,1722,15-24100,cohen.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Cohen Lopez
147,,1732,15-24100,oscar.carrillo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Oscar Carrillo
148,,1742,15-24100,antonio.aldrete@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Antonio Aldrete
149,,1757,15-24100,lerma.horta@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lerma Horta
150,,1774,15-24100,marina.galaz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marina Galaz
151,,1800,15-24100,antonio.alegria@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Antonio Alegria
152,,1883,15-24100,lina.velarde@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lina Velarde
153,,1943,15-24100,valenzuela.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Valenzuela Ochoa
154,,1974,15-24100,manuel.abril@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Manuel Abril
155,,1979,15-24100,acosta.hernandez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Acosta Hernandez
156,,1989,15-24100,javier.vega@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Javier Vega
157,,1997,15-24100,antonio.vasquez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Antonio Vasquez
158,,26,15-24100,guadalupe.urias@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Guadalupe Urias
159,,28,15-24100,hernan.gomez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Hernan Gomez
160,,50,15-24100,marta .pérez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marta  Pérez
161,,122,15-24100,victor.milton@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Victor Milton
162,,168,15-24100,isbelia.posada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Isbelia Posada
163,,188,15-24100,gregoria.barraza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gregoria Barraza
164,,191,15-24100,elena.arango@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Elena Arango
165,,200,15-24100,ivone.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ivone Ochoa
166,,254,15-24100,enrique.olea@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Enrique Olea
167,,269,15-24100,jeisson.betancur@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jeisson Betancur
168,,347,15-24100,ruben.nieblas@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ruben Nieblas
169,,399,15-24100,francisco.rodriguez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Francisco Rodriguez
170,,420,15-24100,heberto.robles@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Heberto Robles
171,,446,15-24100,juan.espinoza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Juan Espinoza
172,,531,15-24100,alonso.aguirre@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alonso Aguirre
173,,532,15-24100,fausto.sanchez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Fausto Sanchez
174,,533,15-24100,lopez.torres@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lopez Torres
175,,591,15-24100,johana.piedrahita@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Johana Piedrahita
176,,609,15-24100,gonzalez.ibarra@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gonzalez Ibarra
177,,683,15-24100,yohan.mira@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Yohan Mira
178,,737,15-24100,luis.carrillo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luis Carrillo
179,,762,15-24100,felipe.jaime@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Felipe Jaime
180,,772,15-24100,alfonso.encinas@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alfonso Encinas
181,,828,15-24100,francisco.ahumada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Francisco Ahumada
182,,842,15-24100,luz.mesa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luz Mesa
183,,852,15-24100,hector.moyon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Hector Moyon
184,,879,15-24100,guillermo.ruiz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Guillermo Ruiz
185,,901,15-24100,karina.medina@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Karina Medina
186,,998,15-24100,magnolia.tapia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Magnolia Tapia
187,,1078,15-24100,irene.ruiz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Irene Ruiz
188,,1112,15-24100,alfredo.barraza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alfredo Barraza
189,,1117,15-24100,mauro.betancur @tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Mauro Betancur 
190,,1145,15-24100,carolina.rodriguez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Carolina Rodriguez
191,,1178,15-24100,luz.peñuñuri@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luz Peñuñuri
192,,1210,15-24100,gabriela.rivera@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gabriela Rivera
193,,1244,15-24100,ismael.gaxiola@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ismael Gaxiola
194,,1253,15-24100,eligio.velarde@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Eligio Velarde
195,,1268,15-24100,casillas.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Casillas Lopez
196,,1338,15-24100,patricia.gallego@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Patricia Gallego
197,,1347,15-24100,gerardo.francis@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gerardo Francis
198,,1370,15-24100,cinco.torres@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Cinco Torres
199,,1371,15-24100,hector.wilson@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Hector Wilson
200,,1372,15-24100,vazquez.miranda@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Vazquez Miranda
201,,1414,15-24100,marisol.chaverra@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marisol Chaverra
202,,1437,15-24100,maricela.montaño@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Maricela Montaño
203,,1460,15-24100,cota.capin@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Cota Capin
204,,1464,15-24100,jairo.barrientos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jairo Barrientos
205,,1466,15-24100,luis.osornio@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luis Osornio
206,,1483,15-24100,marleny.soto@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Marleny Soto
207,,1484,15-24100,annet.medina@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Annet Medina
208,,1515,15-24100,lamberto.calles@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lamberto Calles
209,,1529,15-24100,jesus.sandoval@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jesus Sandoval
210,,1543,15-24100,coronado.ocaño@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Coronado Ocaño
211,,1546,15-24100,damian.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Damian Lopez
212,,1564,15-24100,alberto.guerrero@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alberto Guerrero
213,,1671,15-24100,laura.valencia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Laura Valencia
214,,1694,15-24100,heriberto.romero@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Heriberto Romero
215,,1720,15-24100,languret.corral@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Languret Corral
216,,1785,15-24100,javier.coss@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Javier Coss
217,,1880,15-24100,medina.calleja@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Medina Calleja
218,,1882,15-24100,diana.atehortua@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Diana Atehortua
219,,1890,15-24100,isela.velasquez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Isela Velasquez
220,,1921,15-24100,peralta.monge@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Peralta Monge
221,,1929,15-24100,valenzuela.leon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Valenzuela Leon
222,,1936,15-24100,rosalva.paz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Rosalva Paz
223,,1959,15-24100,vanessa.amabilis@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Vanessa Amabilis
224,,1962,15-24100,otero.von_borstel@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Otero Von_Borstel
225,,1967,15-24100,jaime.espinoza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jaime Espinoza
226,,1996,15-24100,david.barraza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,David Barraza
